DateTime, Return, Max Opposite Excursion
20241008 02:32:00,27.700001,-12.25
20241008 05:13:00,-21.049999,11.75
20241008 06:05:00,-21.049999,20.75
20241008 07:01:00,-21.299999,12.5
20241008 08:29:00,-20.799999,21.5
20241008 08:36:00,-20.299999,12.75
20241008 08:42:00,-20.799999,6.75
20241008 08:52:00,-20.549999,22.75
20241009 02:21:00,-20.299999,22.25
20241009 04:00:00,24.450001,-18
20241009 10:00:00,-20.299999,32
20241010 07:36:00,-21.549999,79
20241010 07:40:00,-21.049999,9.5
20241010 08:38:00,-21.049999,7.25
20241010 09:01:00,5.45,-26.5
20241010 09:02:00,-21.049999,4.75
20241010 09:07:00,-20.799999,19
20241010 09:10:00,-0.8,1.75
20241010 09:24:00,3.95,-10
20241010 09:26:00,5.2,-5.75
20241010 09:35:00,2.2,-13
20241010 09:36:00,-20.799999,4.5
20241010 09:39:00,1.2,-13.75
20241010 09:42:00,-0.3,6.25
20241010 09:56:00,7.7,-8.25
20241010 10:04:00,4.45,-19.75
20241010 10:05:00,1.45,-10
20241010 10:06:00,2.2,-2.25
20241010 12:54:00,4.95,-26.5
20241010 13:47:00,11.7,-26
20241011 08:26:00,-20.799999,48.25
20241011 09:00:00,-20.299999,9.25
20241011 09:06:00,19.450001,-8.25
20241014 05:00:00,-20.799999,15.5
20241015 05:43:00,36.700001,-12
20241015 09:28:00,-21.049999,17
20241016 02:02:00,32.700001,-4.75
20241016 08:44:00,-20.799999,36.75
20241016 08:51:00,-21.549999,30.75
20241016 09:22:00,44.450001,-10
20241016 09:43:00,-20.299999,22.25
20241016 10:13:00,37.700001,-15.5
20241016 11:26:00,26.450001,-10
20241017 01:21:00,-21.799999,6.75
20241017 01:27:00,-21.549999,5
20241018 03:18:00,-21.549999,7.25
20241018 06:25:00,-20.299999,28.25
20241018 08:31:00,15.45,-16.5
20241018 08:32:00,-20.799999,1.5
20241018 08:34:00,15.7,-15.25
20241018 08:39:00,-21.049999,14
20241018 08:41:00,-21.049999,18
20241021 04:31:00,-21.049999,1.25
20241021 05:44:00,-21.049999,10.5
20241021 08:30:00,16.450001,-2.75
20241021 09:39:00,87.449997,-7.25
20241021 09:45:00,-20.299999,10.5
20241021 10:07:00,-20.799999,43.75
20241021 10:50:00,17.200001,-9.25
